,자치구,행정동,면적,개소,주차면수,거주인구,대중교통이용,사업체수,종사자수,총생활인구수,단독주택,아파트,연립주택,다세대주택,비거주용건물내주택,상주인구,유출인구,유입인구,도소매,숙박 및 음식점,서비스업
39,용산구,이촌2동,1.22,57,2159,8094,2673.62100456621,558,1183,7934.576677416255,60,2783,172,391,9,8525.2,177888.76,177705.87,202,35,60
40,용산구,이태원1동,0.57,450,3966,7947,16864.013698630137,1871,6544,13316.51217827381,815,712,246,373,52,77023.7,716520.78,722432.46,674,606,111
41,용산구,이태원2동,0.86,685,3786,10427,4004.009132420091,1285,3282,13850.114735416668,1127,705,232,949,45,56179.53,689230.78,689090.38,364,262,106
42,용산구,서빙고동,2.8,243,6523,13458,7524.703196347032,777,6126,16130.45455639881,618,2608,254,780,8,76295.48,795969.01,795108.89,235,58,102
43,용산구,보광동,0.71,408,2800,14060,5199.815068493151,1155,2365,11325.084151339284,2024,550,81,892,41,35722.13,404136.66,403828.76,320,206,118
44,용산구,청파동,0.9,910,6781,19833,6724.874429223744,2186,9850,23495.820672321428,1837,74,455,3186,84,166031.21,1034238.3099999999,1032119.74,449,417,227
45,용산구,원효로1동,0.59,436,9967,17774,7611.25799086758,2634,12179,22304.703530952378,563,3405,43,1161,79,98713.8,935620.32,932768.79,1049,318,197
46,용산구,한강로동,2.9,454,30057,22886,81245.57534246576,6669,48562,56379.13911413691,905,5192,162,431,79,783812.63,3506492.9,3507894.86,3184,897,449
47,용산구,한남동,3.01,1265,16498,22054,34134.74200913242,3473,21250,35749.33599464286,1630,3626,1068,1758,92,380981.11,1779660.0,1781042.3599999999,899,658,378
48,성동구,왕십리2동,0.41,229,5044,16688,16424.853881278537,1232,2948,15796.078601041667,608,4243,9,167,33,19649.71,427942.98,426421.83,357,123,121
49,성동구,마장동,1.05,720,8796,22706,10700.24200913242,4030,12518,22390.26949300595,1206,4173,212,816,157,185839.45,1083597.38,1082607.07,1959,226,196
50,성동구,사근동,1.1,491,7355,14082,16408.739726027397,1310,10537,26492.810426190477,793,1288,55,982,65,407404.73,1246352.05,1242564.44,225,444,167
51,성동구,행당1동,0.59,298,7516,13996,39886.26484018265,1578,9587,22109.85517901518,573,3680,200,680,57,153573.7,1356356.98,1355994.06,426,297,258
52,성동구,행당2동,0.42,92,9357,23148,12132.787671232876,1031,2412,18684.74129404762,133,8134,16,194,66,66179.42,671162.54,669354.51,314,73,192
53,성동구,응봉동,0.57,98,3151,15100,4393.525114155251,682,1162,11064.490793898809,150,3868,42,1254,8,25752.78,380724.01,379547.88,235,33,93
54,성동구,금호1가동,0.46,82,5457,15137,9479.360730593608,927,2416,15104.796482142856,77,5058,200,861,25,42260.88,525649.35,524554.74,257,74,158
55,성동구,금호4가동,0.84,137,5423,14228,13558.454337899544,999,2294,12018.424920278194,397,4439,101,254,32,51775.93,492411.2,491182.58,267,122,165
56,성동구,성수1가1동,1.97,596,7635,16407,11059.034246575342,2982,14473,20120.11885,629,3313,307,557,91,87266.74,954247.98,953572.25,628,224,251
57,성동구,성수1가2동,0.89,633,9712,12322,22781.374429223742,4784,26199,21242.614397619043,659,2345,200,389,96,114233.13,1081836.28,1082164.28,1071,515,339
58,성동구,성수2가1동,1.17,682,8387,15716,5423.990867579909,3557,20402,21985.372420535714,1079,1913,567,599,130,111339.18,1046630.02,1046668.14,947,423,226
59,성동구,성수2가3동,1.03,739,16697,10520,38101.340182648404,8853,63385,37892.90658660714,290,1912,57,589,96,428481.07,2385539.96,2387375.42,2183,674,574
60,성동구,송정동,0.75,556,3118,10464,2864.7899543378994,1005,2879,10643.405945238095,898,793,68,547,25,9024.39,345012.91,344056.1,275,83,80
61,성동구,용답동,2.31,508,6002,12551,38706.90867579909,2497,12834,21551.637410119045,1472,621,27,327,57,52400.83,746579.11,745216.72,850,234,188
62,성동구,왕십리도선동,0.72,363,13447,26903,7051.143835616438,3234,11495,31525.489541666666,544,7302,75,468,91,232405.42,1649532.46,1648055.76,906,488,398
63,성동구,금호2.3가동,0.64,345,6764,22423,4660.91095890411,1458,2963,21213.8759171131,893,5019,129,1338,74,71319.76,684655.41,682781.77,408,227,199
64,성동구,옥수동,1.94,142,10683,25843,15207.486301369863,1506,4717,28093.17652574405,124,9483,125,136,31,157398.53,805275.54,802794.73,423,153,276
65,광진구,화양동,1.16,1398,10647,27082,55760.1301369863,3072,16195,46408.471022470236,1413,1360,50,2315,158,610364.26,2139910.55,2144569.11,614,1001,428
66,광진구,군자동,0.74,1204,7263,21524,8222.826484018266,2389,9834,22289.605069940477,1435,779,268,1978,96,138575.34,985996.47,983940.5,683,407,283
67,광진구,중곡1동,0.62,1470,4979,15663,4083.8036529680367,2152,6363,16189.895367708334,1094,148,98,2159,114,39159.01,659163.36,657676.04,617,286,191
68,광진구,중곡2동,0.55,1682,6526,21336,5531.842465753424,2350,7380,18687.094270238096,1188,300,100,3265,133,94518.93,895169.08,893451.86,603,270,328
69,광진구,중곡3동,0.6,1541,5359,16177,14389.269406392694,1764,5019,15892.317190327381,1179,462,49,2058,122,52162.21,566169.67,564915.25,417,236,195
70,광진구,중곡4동,2.32,2314,8177,28405,3364.801369863014,1707,4257,25368.909861011904,1508,314,666,4746,132,136380.79,974542.01,973141.45,466,231,255
71,광진구,능동,1.1,1177,6560,11561,43295.447488584476,1214,6229,16041.811547767857,786,21,72,1620,32,57920.13,830117.65,828557.11,337,157,180
72,광진구,구의1동,0.56,1753,8621,24049,28252.214611872147,2623,7443,26012.70286845238,1070,264,180,3553,128,141279.44,909034.22,907838.9299999999,585,455,313
73,광진구,구의2동,1.39,1572,8722,26573,20825.12785388128,1929,5989,22101.573140625,977,1355,714,4221,74,106472.17,944041.28,941512.37,499,271,264
74,광진구,구의3동,1.02,941,14788,28440,35731.53881278539,3708,16217,32737.144800892856,424,5985,326,2291,44,266340.06,1518760.64,1516977.85,1511,387,511
75,광진구,광장동,2.39,566,16425,34362,16769.084474885844,2180,14269,36262.449842410715,214,9068,481,538,48,303620.92,1370145.96,1369079.84,625,218,377
76,광진구,자양1동,0.57,1400,6870,22709,5779.020547945205,2303,9645,25926.290172767858,1205,784,182,3118,109,97351.38,956918.27,955121.48,653,332,308
77,광진구,자양2동,1.68,1611,9499,24253,6269.840182648401,2196,7033,22170.369759077377,848,2802,257,3075,84,137619.79,813538.04,811813.65,526,201,306
78,광진구,자양3동,1.2,772,14240,27858,5961.16894977169,1922,7600,23904.11573467262,402,7088,248,782,62,196394.45,1295408.08,1295221.05,582,230,301
79,광진구,자양4동,1.16,1043,5713,21260,13964.25799086758,2197,6234,32734.34708125,1589,1405,363,1139,117,201603.36,1296448.74,1293864.32,555,436,290
80,동대문구,회기동,0.76,598,6029,13536,6149.965753424657,1293,10348,24594.475699255956,744,1577,50,652,92,126885.89,1023293.58,1021165.59,281,459,176
81,동대문구,휘경1동,0.63,388,6499,16339,26482.29223744292,1285,3690,20266.157529910713,913,2546,136,677,55,93222.13,942755.11,936073.93,420,212,175
82,동대문구,휘경2동,1.05,836,11358,24666,10546.856164383562,1665,5457,20947.88176175595,994,4151,414,1191,52,41535.39,751062.68,748781.26,358,150,183
83,동대문구,청량리동,1.2,456,8940,19094,11437.210045662101,1909,8278,21430.967049107145,1507,3691,65,853,93,114381.98,872804.52,872382.66,527,324,249
84,동대문구,용신동,1.61,1407,16812,36137,64432.504566210046,6982,30470,44805.12667202381,1942,4446,345,1522,240,333405.2,2130714.52,2129328.85,2677,691,500
85,동대문구,제기동,1.18,978,9163,26484,26729.787671232876,5355,13094,36468.04289360119,2262,3113,158,2148,215,219652.92,1718355.05,1713325.46,3087,566,363
86,동대문구,전농1동,1.19,907,11320,29220,47335.2694063927,3020,7638,32568.73511488095,2138,4044,224,1804,98,241044.32,1545101.76,1544462.41,1104,465,325
87,동대문구,전농2동,0.86,233,7287,18629,8318.22602739726,1358,5460,15679.92418377976,489,5505,200,417,26,73110.09,655463.44,653319.12,348,149,210
88,동대문구,답십리1동,0.81,467,13610,28530,6871.13698630137,3799,9651,23073.267350297618,944,7743,32,474,68,133450.57,1145716.77,1142965.67,1034,225,340
89,동대문구,답십리2동,0.85,444,9090,28055,9870.885844748858,2847,8207,23228.618640922617,991,8184,45,459,112,70355.59,791029.77,788842.0,1200,231,286
90,동대문구,장안1동,1.25,1323,19466,38677,16614.513698630137,6654,22326,37010.03123497024,892,6878,867,2934,228,234827.53,1364850.11,1364322.34,2019,627,454
91,동대문구,장안2동,1.09,1014,14889,32685,13499.32191780822,3956,12725,28379.06720595238,849,6061,637,2148,157,203426.32,1240020.91,1238867.07,1107,549,544
92,동대문구,이문1동,1.04,735,7147,21366,11376.65296803653,1641,6654,28040.444801190475,1501,2232,281,837,97,279530.36,1111679.16,1104838.68,338,355,215
93,동대문구,이문2동,0.69,294,6493,20183,8629.303652968036,1049,2385,14600.606616964285,954,4862,20,395,49,53214.28,588584.4,587690.53,274,105,137
94,중랑구,면목2동,0.77,833,6122,24206,5865.054794520548,2477,5975,21363.26297559524,1528,2444,210,2125,182,69812.52,757801.9,757232.91,567,285,198
95,중랑구,면목4동,0.87,583,4786,18746,10048.410958904109,2568,4971,17291.607393485087,1034,2867,157,1288,62,43254.74,563430.18,562370.65,298,148,173
96,중랑구,면목5동,0.7,457,7247,14836,4140.9497716894975,1161,3336,11655.127934958116,621,2174,264,1300,50,19465.43,400793.97,399444.95,273,98,85
97,중랑구,면목7동,1.2,648,6840,21798,5289.111872146119,1957,4800,18715.150863556413,1264,3151,232,1454,103,97175.13,746720.6,745024.71,510,233,216
98,중랑구,상봉1동,0.88,508,9696,23714,5786.799086757991,1952,6705,17923.284883630953,622,5365,258,1639,53,30840.33,546006.87,544798.28,475,158,231
99,중랑구,상봉2동,0.65,941,6796,20612,34232.125570776254,3344,9431,26947.759284672622,906,2043,173,2891,133,132960.24,1571952.25,1570986.17,666,569,362
100,중랑구,중화1동,0.64,1686,5636,19293,3371.219178082192,1565,4476,14706.992831313906,738,2120,639,2137,57,49367.48,525828.05,525052.61,450,96,192
101,중랑구,중화2동,1.01,900,6279,24926,22083.899543378997,2584,7044,27310.414792113097,2199,868,561,2790,135,88548.9,848858.54,847338.14,664,412,272
102,중랑구,묵1동,1.2,1133,15177,34344,6790.956621004566,2326,6252,25949.19729017857,788,6568,360,3004,85,107760.68000000001,893708.22,892432.77,607,265,292
103,중랑구,묵2동,0.67,867,6276,18624,12235.495433789954,2393,4973,19694.423611736205,996,1652,154,2375,132,118715.8,838307.83,836466.36,547,256,240
104,중랑구,망우3동,0.92,906,4324,16303,4175.917808219178,1507,4272,11981.893926127961,1348,61,111,2018,66,24089.91,433601.37,432962.09,367,127,155
105,중랑구,신내1동,2.56,465,17192,38205,21486.223744292238,3257,15420,35644.539781101186,436,11411,297,747,68,175808.98,1368063.06,1366453.35,788,273,414
106,중랑구,신내2동,0.93,39,6670,20155,9430.356164383562,1556,7186,17588.786351876603,9,8425,200,1571,6,42113.51,626051.26,625249.24,365,129,287
107,중랑구,면목본동,0.84,1286,8157,33856,26244.22602739726,3481,7511,27375.35741577381,2427,962,220,4856,117,113960.48,1108044.4,1104993.82,933,446,343
108,중랑구,면목3.8동,1.63,894,7070,24617,24121.440639269407,2776,7878,20791.183565625,1822,1942,429,2055,127,98073.05,919667.74,919992.16,592,446,308
109,중랑구,망우본동,3.03,1105,14616,35905,17919.584474885844,4406,12914,39455.12901994047,1822,3446,401,1624,160,270563.16,1555985.68,1554839.95,962,512,415
110,성북구,돈암1동,0.49,79,5809,14474,12934.659817351598,688,2087,13195.474208333335,164,5341,80,184,9,21236.89,426309.21,425031.29,203,40,128
111,성북구,돈암2동,0.48,62,9912,23657,5000.189497716895,909,2893,14300.854562202383,47,7791,20,379,66,15180.81,317382.73,316038.07,263,49,191
