"동별(1)",동별(2),동별(3),2022. 12,2022. 12,2022. 12,2022. 12,2022. 12,2022. 12,2022. 12,2023. 01,2023. 01,2023. 01,2023. 01,2023. 01,2023. 01,2023. 01,2023. 02,2023. 02,2023. 02,2023. 02,2023. 02,2023. 02,2023. 02
"동별(1)",동별(2),동별(3),합계 (명),합계 (명),합계 (명),한국인,한국인,외국인,외국인,합계 (명),합계 (명),합계 (명),한국인,한국인,외국인,외국인,합계 (명),합계 (명),합계 (명),한국인,한국인,외국인,외국인
"동별(1)",동별(2),동별(3),소계,남자,여자,남자,여자,남자,여자,소계,남자,여자,남자,여자,남자,여자,소계,남자,여자,남자,여자,남자,여자
"합계",노원구,상계8동,22344,10644,11700,10630,11662,14,38,22324,10627,11697,10614,11658,13,39,22258,10600,11658,10588,11620,12,38
"합계",노원구,상계9동,20071,9394,10677,9363,10616,31,61,20051,9374,10677,9343,10617,31,60,20009,9350,10659,9320,10601,30,58
"합계",노원구,상계10동,18477,8524,9953,8503,9921,21,32,18413,8492,9921,8471,9890,21,31,18398,8465,9933,8443,9899,22,34
"합계",노원구,상계3.4동,25324,12606,12718,12568,12643,38,75,25289,12597,12692,12560,12617,37,75,25227,12577,12650,12539,12574,38,76
"합계",노원구,상계6.7동,32044,14789,17255,14739,17175,50,80,32030,14787,17243,14737,17161,50,82,32048,14794,17254,14745,17170,49,84
"합계",노원구,중계2.3동,33497,15316,18181,15274,18092,42,89,33398,15266,18132,15223,18043,43,89,33345,15241,18104,15199,18014,42,90
"합계",노원구,공릉1동,37184,18057,19127,17699,18763,358,364,37115,18028,19087,17667,18718,361,369,37148,18051,19097,17693,18729,358,368
"합계",은평구,녹번동,36884,17348,19536,17179,19336,169,200,36828,17320,19508,17150,19307,170,201,36819,17307,19512,17138,19309,169,203
"합계",은평구,불광1동,38265,18015,20250,17903,20099,112,151,38185,17984,20201,17874,20045,110,156,38139,17932,20207,17819,20052,113,155
"합계",은평구,갈현1동,17151,8374,8777,8304,8684,70,93,16463,8022,8441,7952,8354,70,87,15742,7637,8105,7568,8019,69,86
"합계",은평구,갈현2동,28176,13301,14875,13195,14712,106,163,28143,13264,14879,13159,14720,105,159,28169,13292,14877,13194,14719,98,158
"합계",은평구,구산동,32020,15623,16397,15534,16281,89,116,32007,15618,16389,15531,16271,87,118,31981,15599,16382,15512,16264,87,118
"합계",은평구,대조동,26862,12449,14413,12322,14220,127,193,27247,12609,14638,12476,14438,133,200,27632,12767,14865,12633,14659,134,206
"합계",은평구,응암1동,33279,15628,17651,15493,17464,135,187,33303,15641,17662,15512,17476,129,186,33315,15637,17678,15512,17490,125,188
"합계",은평구,응암2동,28016,13572,14444,13488,14340,84,104,27994,13556,14438,13472,14330,84,108,27921,13497,14424,13412,14312,85,112
"합계",은평구,신사1동,26984,12930,14054,12860,13919,70,135,26953,12901,14052,12832,13916,69,136,26962,12911,14051,12841,13913,70,138
"합계",은평구,신사2동,19497,9658,9839,9618,9752,40,87,19488,9670,9818,9631,9731,39,87,19410,9622,9788,9583,9700,39,88
"합계",은평구,증산동,18647,9098,9549,9027,9473,71,76,18660,9096,9564,9026,9485,70,79,18663,9094,9569,9025,9491,69,78
"합계",은평구,수색동,13210,6450,6760,6422,6715,28,45,13187,6419,6768,6390,6723,29,45,13180,6417,6763,6387,6717,30,46
"합계",은평구,진관동,55034,25720,29314,25639,29182,81,132,55060,25715,29345,25636,29211,79,134,55024,25676,29348,25597,29213,79,135
"합계",은평구,불광2동,27280,13168,14112,13072,13964,96,148,27310,13190,14120,13100,13973,90,147,27359,13185,14174,13095,14026,90,148
"합계",은평구,응암3동,24313,11752,12561,11608,12352,144,209,24300,11736,12564,11591,12354,145,210,24242,11690,12552,11548,12346,142,206
"합계",은평구,역촌동,44984,21077,23907,20928,23661,149,246,44971,21084,23887,20931,23640,153,247,44931,21079,23852,20926,23607,153,245
"합계",서대문구,천연동,17031,8070,8961,7954,8859,116,102,17008,8055,8953,7941,8853,114,100,16941,8018,8923,7906,8828,112,95
"합계",서대문구,홍제1동,24674,11507,13167,11409,13019,98,148,24908,11607,13301,11509,13151,98,150,25000,11654,13346,11555,13192,99,154
"합계",서대문구,홍제3동,17890,8583,9307,8510,9209,73,98,17879,8573,9306,8501,9210,72,96,17882,8579,9303,8506,9206,73,97
"합계",서대문구,홍제2동,13433,6272,7161,6229,7097,43,64,13409,6277,7132,6235,7070,42,62,13433,6284,7149,6240,7088,44,61
"합계",서대문구,홍은1동,22825,11026,11799,10937,11647,89,152,22747,10985,11762,10898,11611,87,151,22690,10947,11743,10857,11595,90,148
"합계",서대문구,홍은2동,27499,13102,14397,12817,13916,285,481,28532,13616,14916,13333,14426,283,490,29276,13975,15301,13695,14819,280,482
"합계",서대문구,남가좌1동,16884,8090,8794,7995,8660,95,134,16931,8111,8820,8016,8686,95,134,16955,8122,8833,8025,8697,97,136
"합계",서대문구,남가좌2동,30508,14468,16040,14086,15215,382,825,30463,14470,15993,14076,15174,394,819,30467,14488,15979,14107,15167,381,812
"합계",서대문구,북가좌1동,17804,8528,9276,8487,9216,41,60,17803,8520,9283,8481,9222,39,61,17802,8509,9293,8472,9231,37,62
"합계",서대문구,북가좌2동,31244,15161,16083,15050,15881,111,202,31235,15149,16086,15036,15883,113,203,31220,15135,16085,15019,15884,116,201
"합계",서대문구,충현동,20316,9744,10572,9534,10329,210,243,20315,9744,10571,9535,10326,209,245,20301,9744,10557,9535,10315,209,242
"합계",서대문구,북아현동,15875,7597,8278,7471,8100,126,178,15874,7590,8284,7464,8110,126,174,15851,7570,8281,7449,8122,121,159
"합계",서대문구,신촌동,26143,10232,15911,8863,11434,1369,4477,25826,10154,15672,8846,11357,1308,4315,25703,10191,15512,8903,11463,1288,4049
"합계",서대문구,연희동,37428,17714,19714,16474,17939,1240,1775,37371,17669,19702,16423,17904,1246,1798,37366,17651,19715,16402,17916,1249,1799
"합계",마포구,용강동,21786,10318,11468,10098,11242,220,226,21718,10270,11448,10056,11226,214,222,21725,10276,11449,10068,11233,208,216
"합계",마포구,대흥동,16177,7558,8619,7040,7455,518,1164,16126,7534,8592,7020,7449,514,1143,16099,7547,8552,7033,7455,514,1097
"합계",마포구,염리동,17633,8269,9364,8011,8747,258,617,17613,8267,9346,8015,8744,252,602,17694,8285,9409,8030,8751,255,658
"합계",마포구,신수동,22672,11010,11662,10864,11422,146,240,22658,11008,11650,10864,11411,144,239,22602,10996,11606,10861,11374,135,232
"합계",마포구,서교동,26674,11825,14849,11194,13334,631,1515,26646,11782,14864,11161,13335,621,1529,26568,11758,14810,11126,13340,632,1470
"합계",마포구,합정동,17064,7836,9228,7706,8996,130,232,17034,7816,9218,7691,8983,125,235,16997,7795,9202,7670,8984,125,218
"합계",마포구,망원1동,19757,9246,10511,9115,10337,131,174,19695,9200,10495,9066,10323,134,172,19686,9186,10500,9054,10322,132,178
"합계",마포구,망원2동,18449,8596,9853,8531,9719,65,134,18434,8591,9843,8529,9712,62,131,18391,8573,9818,8512,9692,61,126
"합계",마포구,연남동,15603,7334,8269,6933,7681,401,588,15553,7309,8244,6901,7658,408,586,15508,7288,8220,6891,7637,397,583
"합계",마포구,성산1동,19079,8931,10148,8778,9948,153,200,19023,8903,10120,8753,9919,150,201,19031,8901,10130,8752,9927,149,203
"합계",마포구,성산2동,39500,17621,21879,17532,21660,89,219,39457,17562,21895,17475,21672,87,223,39379,17512,21867,17422,21645,90,222
"합계",마포구,상암동,30837,14537,16300,14224,15922,313,378,30783,14514,16269,14202,15878,312,391,30712,14475,16237,14157,15852,318,385
"합계",마포구,도화동,21118,10071,11047,9953,10918,118,129,21095,10061,11034,9942,10903,119,131,21034,10030,11004,9913,10876,117,128
"합계",마포구,서강동,25576,12069,13507,11817,12932,252,575,25514,12051,13463,11793,12908,258,555,25443,12028,13415,11780,12896,248,519
"합계",마포구,공덕동,37476,17576,19900,17257,19578,319,322,37423,17548,19875,17233,19559,315,316,37386,17507,19879,17194,19563,313,316
"합계",마포구,아현동,26184,12209,13975,11990,13704,219,271,27049,12635,14414,12413,14144,222,270,27928,13038,14890,12821,14616,217,274
"합계",양천구,목1동,30536,14684,15852,14619,15788,65,64,30482,14662,15820,14598,15755,64,65,30494,14668,15826,14604,15758,64,68
"합계",양천구,목2동,29641,14341,15300,14262,15166,79,134,29592,14324,15268,14244,15136,80,132,29499,14265,15234,14182,15101,83,133
"합계",양천구,목3동,21719,10336,11383,10280,11307,56,76,21728,10339,11389,10281,11310,58,79,21646,10314,11332,10254,11252,60,80
"합계",양천구,목4동,25018,12233,12785,12161,12688,72,97,25015,12242,12773,12171,12676,71,97,24933,12196,12737,12133,12641,63,96
"합계",양천구,신월1동,20343,10389,9954,10287,9791,102,163,20330,10379,9951,10280,9787,99,164,20261,10345,9916,10246,9752,99,164
"합계",양천구,신월2동,20569,10052,10517,9990,10423,62,94,20564,10050,10514,9987,10418,63,96,20500,10013,10487,9952,10391,61,96
"합계",양천구,신월3동,14934,7858,7076,7769,6979,89,97,14903,7836,7067,7745,6968,91,99,14874,7815,7059,7727,6961,88,98
"합계",양천구,신월4동,17698,8598,9100,8572,9032,26,68,17695,8595,9100,8569,9032,26,68,17698,8595,9103,8568,9032,27,71
"합계",양천구,신월5동,14461,7160,7301,7112,7222,48,79,14438,7147,7291,7101,7212,46,79,14433,7146,7287,7101,7212,45,75
"합계",양천구,신월6동,13816,6733,7083,6711,7048,22,35,13880,6773,7107,6750,7073,23,34,13925,6795,7130,6772,7095,23,35
"합계",양천구,신월7동,19199,9339,9860,9308,9760,31,100,19156,9322,9834,9290,9732,32,102,19093,9280,9813,9245,9714,35,99
"합계",양천구,신정1동,19962,9720,10242,9667,10189,53,53,19947,9692,10255,9642,10201,50,54,19932,9667,10265,9618,10212,49,53
"합계",양천구,신정2동,19003,9325,9678,9279,9627,46,51,18991,9325,9666,9279,9616,46,50,18997,9333,9664,9288,9613,45,51
"합계",양천구,신정3동,50587,24488,26099,24336,25899,152,200,50599,24504,26095,24357,25896,147,199,50579,24470,26109,24325,25909,145,200
"합계",양천구,신정6동,24152,11745,12407,11736,12395,9,12,24111,11714,12397,11705,12384,9,13,24090,11701,12389,11692,12377,9,12
"합계",양천구,신정7동,28579,13730,14849,13656,14769,74,80,28564,13727,14837,13652,14755,75,82,28517,13715,14802,13641,14719,74,83
"합계",양천구,목5동,40737,20192,20545,20152,20485,40,60,40717,20171,20546,20129,20484,42,62,40714,20166,20548,20121,20494,45,54
"합계",양천구,신정4동,33056,16052,17004,15785,16631,267,373,33052,16034,17018,15777,16639,257,379,32975,15984,16991,15726,16614,258,377
"합계",강서구,염창동,41628,20027,21601,19964,21542,63,59,41552,19972,21580,19908,21517,64,63,41548,19968,21580,19904,21516,64,64
"합계",강서구,등촌1동,24991,11484,13507,11406,13356,78,151,24984,11482,13502,11409,13347,73,155,24977,11474,13503,11406,13351,68,152
"합계",강서구,등촌2동,19855,9642,10213,9596,10142,46,71,19839,9620,10219,9572,10149,48,70,19776,9593,10183,9543,10112,50,71
"합계",강서구,등촌3동,30025,14204,15821,14136,15718,68,103,29946,14147,15799,14079,15698,68,101,29830,14091,15739,14029,15642,62,97
"합계",강서구,화곡본동,34121,16469,17652,16315,17417,154,235,34073,16444,17629,16296,17398,148,231,33996,16412,17584,16263,17353,149,231
"합계",강서구,화곡2동,17785,8556,9229,8453,9061,103,168,17770,8553,9217,8452,9048,101,169,17750,8549,9201,8447,9025,102,176
"합계",강서구,화곡3동,21603,10280,11323,10227,11232,53,91,21565,10246,11319,10195,11229,51,90,21525,10220,11305,10171,11217,49,88
"합계",강서구,화곡4동,20514,10050,10464,9933,10304,117,160,20456,10018,10438,9900,10279,118,159,20410,9999,10411,9881,10254,118,157
"합계",강서구,화곡6동,25303,12116,13187,12019,13008,97,179,25261,12093,13168,11994,12991,99,177,25257,12067,13190,11972,13018,95,172
"합계",강서구,화곡8동,24415,11757,12658,11575,12435,182,223,24390,11755,12635,11575,12419,180,216,24376,11756,12620,11576,12401,180,219
"합계",강서구,가양1동,34359,15651,18708,15526,18559,125,149,34355,15625,18730,15502,18585,123,145,34366,15602,18764,15476,18620,126,144
"합계",강서구,가양2동,13902,6539,7363,6516,7296,23,67,13882,6537,7345,6513,7277,24,68,13875,6534,7341,6510,7275,24,66
"합계",강서구,가양3동,14678,6805,7873,6761,7818,44,55,14634,6784,7850,6738,7795,46,55,14602,6767,7835,6726,7778,41,57
"합계",강서구,발산1동,36236,17147,19089,16960,18984,187,105,36197,17120,19077,16930,18974,190,103,36233,17117,19116,16925,19017,192,99
"합계",강서구,공항동,30927,15635,15292,15339,15033,296,259,30879,15616,15263,15330,15008,286,255,30760,15534,15226,15256,14969,278,257
"합계",강서구,방화1동,42851,20870,21981,20759,21857,111,124,42828,20851,21977,20744,21854,107,123,42776,20836,21940,20731,21817,105,123
"합계",강서구,방화2동,23371,11541,11830,11425,11698,116,132,23319,11516,11803,11402,11667,114,136,23286,11504,11782,11389,11653,115,129
"합계",강서구,방화3동,22544,10840,11704,10794,11618,46,86,22507,10817,11690,10771,11604,46,86,22469,10821,11648,10777,11567,44,81
"합계",강서구,화곡1동,52647,25493,27154,25109,26596,384,558,52681,25518,27163,25136,26608,382,555,52695,25520,27175,25136,26615,384,560
"합계",강서구,우장산동,42883,20479,22404,20390,22289,89,115,43112,20567,22545,20480,22432,87,113,43555,20797,22758,20708,22640,89,118
"합계",구로구,신도림동,36138,17484,18654,17341,18480,143,174,36128,17461,18667,17321,18491,140,176,36112,17435,18677,17297,18502,138,175
"합계",구로구,구로1동,20936,10226,10710,10080,10553,146,157,20928,10208,10720,10064,10564,144,156,20887,10184,10703,10058,10560,126,143
"합계",구로구,구로3동,25055,12928,12127,12075,11344,853,783,25028,12899,12129,12088,11343,811,786,25065,12906,12159,12094,11366,812,793
"합계",구로구,구로4동,23052,11398,11654,9279,9913,2119,1741,23001,11361,11640,9260,9895,2101,1745,22923,11323,11600,9236,9864,2087,1736
"합계",구로구,구로5동,31740,15429,16311,14153,15118,1276,1193,31789,15476,16313,14193,15111,1283,1202,31787,15469,16318,14181,15119,1288,1199
"합계",구로구,고척1동,25636,12810,12826,12649,12669,161,157,25924,12947,12977,12781,12817,166,160,26066,13017,13049,12851,12887,166,162
"합계",구로구,고척2동,26557,13100,13457,12899,13230,201,227,26598,13141,13457,12932,13230,209,227,26578,13126,13452,12913,13225,213,227
"합계",구로구,개봉2동,30665,14921,15744,14738,15535,183,209,30589,14871,15718,14689,15502,182,216,30496,14830,15666,14650,15449,180,217
"합계",구로구,개봉3동,20251,9844,10407,9664,10223,180,184,20239,9831,10408,9647,10220,184,188,20229,9817,10412,9632,10221,185,191
"합계",구로구,오류1동,23126,11071,12055,10798,11743,273,312,23201,11088,12113,10807,11798,281,315,23260,11085,12175,10799,11856,286,319
"합계",구로구,수궁동,23332,11452,11880,11318,11721,134,159,23316,11441,11875,11304,11721,137,154,23257,11412,11845,11274,11693,138,152
"합계",구로구,가리봉동,12653,7105,5548,4899,4037,2206,1511,12644,7092,5552,4903,4036,2189,1516,12641,7081,5560,4911,4043,2170,1517
"합계",구로구,구로2동,30093,15427,14666,11654,11477,3773,3189,29977,15354,14623,11613,11437,3741,3186,29805,15256,14549,11596,11434,3660,3115
"합계",구로구,개봉1동,34105,16969,17136,16603,16757,366,379,34076,16938,17138,16570,16752,368,386,34087,16949,17138,16573,16748,376,390
"합계",구로구,오류2동,38528,18437,20091,18151,19807,286,284,38516,18433,20083,18150,19798,283,285,38507,18414,20093,18128,19814,286,279
"합계",구로구,항동,16551,8031,8520,7973,8434,58,86,16564,8040,8524,7982,8442,58,82,16582,8046,8536,7989,8459,57,77
"합계",금천구,가산동,26569,14396,12173,13043,11168,1353,1005,26593,14402,12191,13063,11190,1339,1001,26535,14366,12169,13026,11172,1340,997
"합계",금천구,독산1동,47573,24313,23260,23430,22451,883,809,47658,24377,23281,23495,22470,882,811,47779,24424,23355,23546,22534,878,821
"합계",금천구,독산2동,19562,9885,9677,9200,9023,685,654,19507,9854,9653,9177,9005,677,648,19481,9826,9655,9159,9017,667,638
"합계",금천구,독산3동,27239,13801,13438,12025,12009,1776,1429,27200,13786,13414,12025,11980,1761,1434,27190,13783,13407,12032,11972,1751,1435
"합계",금천구,독산4동,16432,8274,8158,7489,7396,785,762,16419,8249,8170,7479,7408,770,762,16411,8248,8163,7466,7397,782,766
"합계",금천구,시흥1동,34054,17006,17048,16192,16268,814,780,33986,16971,17015,16161,16234,810,781,33954,16939,17015,16129,16234,810,781
"합계",금천구,시흥2동,20832,9967,10865,9916,10801,51,64,20817,9945,10872,9895,10805,50,67,20814,9937,10877,9888,10811,49,66
"합계",금천구,시흥3동,10701,5297,5404,5225,5320,72,84,10668,5281,5387,5210,5304,71,83,10638,5260,5378,5190,5293,70,85
"합계",금천구,시흥4동,20614,10198,10416,9885,10092,313,324,20573,10181,10392,9870,10065,311,327,20528,10157,10371,9844,10044,313,327
"합계",금천구,시흥5동,19242,9638,9604,9381,9328,257,276,19193,9628,9565,9368,9295,260,270,19173,9614,9559,9355,9286,259,273
"합계",영등포구,여의동,32923,15459,17464,15278,17277,181,187,32872,15431,17441,15248,17255,183,186,32848,15432,17416,15251,17232,181,184
"합계",영등포구,당산1동,20740,10080,10660,9930,10443,150,217,21100,10238,10862,10088,10643,150,219,21119,10228,10891,10077,10678,151,213
"합계",영등포구,당산2동,37102,17300,19802,17132,19584,168,218,37109,17329,19780,17156,19559,173,221,37125,17356,19769,17186,19552,170,217
"합계",영등포구,양평1동,18704,9051,9653,8929,9465,122,188,18646,9006,9640,8889,9451,117,189,18630,8993,9637,8881,9464,112,173
"합계",영등포구,양평2동,22583,10990,11593,10909,11470,81,123,22581,10989,11592,10908,11467,81,125,22588,10998,11590,10917,11469,81,121
"합계",영등포구,신길1동,20483,10385,10098,9703,9449,682,649,20550,10413,10137,9735,9489,678,648,20656,10451,10205,9770,9557,681,648
"합계",영등포구,신길3동,17281,8573,8708,8073,8278,500,430,17243,8545,8698,8055,8267,490,431,17239,8535,8704,8047,8275,488,429
"합계",영등포구,신길4동,13016,6478,6538,6099,6205,379,333,13011,6476,6535,6098,6197,378,338,13050,6488,6562,6113,6222,375,340
"합계",영등포구,신길5동,11212,5476,5736,4970,5260,506,476,11185,5447,5738,4944,5264,503,474,11152,5428,5724,4933,5253,495,471
"합계",영등포구,신길6동,19593,9601,9992,9239,9635,362,357,19552,9573,9979,9218,9622,355,357,19520,9538,9982,9192,9632,346,350
"합계",영등포구,신길7동,19899,9898,10001,9809,9909,89,92,19919,9913,10006,9822,9914,91,92,19987,9956,10031,9867,9937,89,94
"합계",영등포구,대림1동,16506,8330,8176,7043,7115,1287,1061,16455,8291,8164,7024,7105,1267,1059,16362,8251,8111,6993,7060,1258,1051
"합계",영등포구,대림2동,17523,8946,8577,5832,6023,3114,2554,17622,8972,8650,5885,6093,3087,2557,17599,8957,8642,5893,6080,3064,2562
"합계",영등포구,대림3동,25205,12623,12582,10905,10973,1718,1609,25176,12624,12552,10909,10960,1715,1592,25187,12642,12545,10915,10964,1727,1581
"합계",영등포구,영등포본동,22714,11647,11067,10768,10240,879,827,22701,11634,11067,10762,10233,872,834,22634,11612,11022,10746,10195,866,827
"합계",영등포구,영등포동,30461,15665,14796,15334,14394,331,402,30632,15742,14890,15409,14487,333,403,30823,15811,15012,15476,14594,335,418
"합계",영등포구,도림동,19600,9869,9731,8918,8753,951,978,19636,9895,9741,8935,8766,960,975,19647,9903,9744,8947,8766,956,978
"합계",영등포구,문래동,32540,15893,16647,15789,16542,104,105,32497,15859,16638,15755,16529,104,109,32491,15859,16632,15752,16524,107,108
"합계",동작구,노량진2동,11234,5806,5428,5448,5072,358,356,11236,5836,5400,5467,5043,369,357,11267,5859,5408,5477,5048,382,360
"합계",동작구,상도1동,46166,22174,23992,21464,22742,710,1250,46140,22159,23981,21448,22705,711,1276,46300,22299,24001,21589,22810,710,1191
"합계",동작구,상도2동,27982,13339,14643,13236,14459,103,184,27943,13334,14609,13227,14428,107,181,28029,13390,14639,13277,14454,113,185
"합계",동작구,상도3동,24456,11621,12835,11461,12633,160,202,24508,11647,12861,11482,12658,165,203,24546,11660,12886,11500,12678,160,208
"합계",동작구,상도4동,28564,13835,14729,13719,14508,116,221,28569,13838,14731,13726,14508,112,223,28538,13826,14712,13714,14489,112,223
"합계",동작구,사당1동,23009,11020,11989,10829,11732,191,257,23024,11032,11992,10842,11736,190,256,23018,11037,11981,10846,11720,191,261
"합계",동작구,사당3동,24189,11710,12479,11623,12378,87,101,24162,11676,12486,11589,12384,87,102,24093,11625,12468,11543,12361,82,107
"합계",동작구,사당4동,14185,6784,7401,6703,7313,81,88,14179,6773,7406,6698,7313,75,93,14135,6737,7398,6663,7302,74,96
"합계",동작구,사당5동,14434,6915,7519,6869,7465,46,54,14418,6901,7517,6856,7465,45,52,14395,6886,7509,6841,7457,45,52
"합계",동작구,대방동,37056,17509,19547,17352,19381,157,166,36821,17407,19414,17253,19251,154,163,36539,17274,19265,17118,19103,156,162
"합계",동작구,신대방1동,25118,12096,13022,11199,12165,897,857,25151,12115,13036,11213,12175,902,861,25132,12096,13036,11203,12168,893,868
"합계",동작구,신대방2동,22445,10732,11713,10639,11579,93,134,22446,10712,11734,10620,11596,92,138,22484,10713,11771,10621,11632,92,139
"합계",동작구,흑석동,30694,14603,16091,13880,14637,723,1454,30285,14423,15862,13712,14447,711,1415,29960,14298,15662,13618,14318,680,1344
"합계",동작구,노량진1동,32114,16163,15951,15982,15688,181,263,32155,16187,15968,16005,15701,182,267,32158,16194,15964,16012,15683,182,281
"합계",동작구,사당2동,28786,13773,15013,13626,14814,147,199,28781,13761,15020,13608,14823,153,197,28728,13740,14988,13584,14793,156,195
"합계",관악구,보라매동,24660,12093,12567,11894,12327,199,240,24703,12117,12586,11916,12339,201,247,24657,12129,12528,11933,12289,196,239
"합계",관악구,청림동,15005,7239,7766,7201,7700,38,66,15044,7257,7787,7218,7723,39,64,15015,7252,7763,7213,7699,39,64
"합계",관악구,행운동,29636,14246,15390,14084,15048,162,342,29612,14248,15364,14086,15020,162,344,29600,14235,15365,14069,15022,166,343
"합계",관악구,낙성대동,17928,8954,8974,8712,8622,242,352,17916,8919,8997,8684,8644,235,353,17925,8937,8988,8711,8647,226,341
"합계",관악구,중앙동,15685,7523,8162,7389,7928,134,234,15707,7534,8173,7406,7942,128,231,15762,7579,8183,7448,7951,131,232
"합계",관악구,인헌동,26119,12636,13483,12484,13241,152,242,26099,12626,13473,12472,13240,154,233,26156,12648,13508,12498,13277,150,231
"합계",관악구,남현동,18163,8767,9396,8688,9274,79,122,18128,8758,9370,8680,9248,78,122,18139,8763,9376,8683,9249,80,127
"합계",관악구,서원동,23511,12233,11278,11934,10852,299,426,23568,12262,11306,11964,10874,298,432,23605,12289,11316,11993,10883,296,433
"합계",관악구,신원동,18620,9343,9277,9038,8809,305,468,18668,9381,9287,9071,8820,310,467,18706,9394,9312,9085,8842,309,470
"합계",관악구,서림동,24361,13348,11013,13020,10416,328,597,24394,13364,11030,13028,10424,336,606,24451,13406,11045,13076,10464,330,581
"합계",관악구,신사동,24719,12348,12371,11357,11289,991,1082,24737,12342,12395,11339,11305,1003,1090,24779,12364,12415,11363,11317,1001,1098
"합계",관악구,신림동,23877,12501,11376,12208,10873,293,503,23959,12506,11453,12207,10934,299,519,24156,12600,11556,12295,11017,305,539
"합계",관악구,난향동,15050,7374,7676,7308,7618,66,58,15023,7355,7668,7289,7612,66,56,14996,7352,7644,7286,7589,66,55
"합계",관악구,조원동,20490,10237,10253,9581,9560,656,693,20626,10295,10331,9639,9631,656,700,20769,10374,10395,9709,9696,665,699
"합계",관악구,대학동,26301,15429,10872,14597,9418,832,1454,26371,15454,10917,14622,9453,832,1464,26577,15608,10969,14771,9486,837,1483
"합계",관악구,은천동,33156,16155,17001,15983,16727,172,274,33166,16160,17006,15988,16723,172,283,33136,16142,16994,15969,16709,173,285
"합계",관악구,성현동,28830,13882,14948,13804,14836,78,112,28781,13851,14930,13773,14815,78,115,28757,13851,14906,13774,14787,77,119
"합계",관악구,청룡동,37132,17773,19359,17368,18707,405,652,37126,17758,19368,17355,18705,403,663,37209,17779,19430,17377,18778,402,652
"합계",관악구,난곡동,26679,13332,13347,13150,13090,182,257,26581,13273,13308,13092,13052,181,256,26491,13205,13286,13026,13032,179,254
"합계",관악구,삼성동,20642,10275,10367,10215,10286,60,81,20612,10255,10357,10199,10275,56,82,20543,10211,10332,10154,10250,57,82
"합계",관악구,미성동,30662,14999,15663,14733,15383,266,280,30602,14974,15628,14712,15344,262,284,30569,14960,15609,14692,15321,268,288
"합계",서초구,서초1동,20622,9966,10656,9880,10549,86,107,20562,9916,10646,9832,10539,84,107,20550,9908,10642,9826,10543,82,99
"합계",서초구,서초2동,26932,12845,14087,12590,13883,255,204,26965,12831,14134,12596,13938,235,196,27037,12848,14189,12616,13988,232,201
"합계",서초구,서초3동,32379,15384,16995,15242,16803,142,192,32448,15383,17065,15245,16861,138,204,32462,15386,17076,15244,16882,142,194
"합계",서초구,서초4동,30521,14906,15615,14779,15491,127,124,30510,14900,15610,14776,15488,124,122,30575,14943,15632,14818,15505,125,127
"합계",서초구,잠원동,26393,12712,13681,12625,13579,87,102,26391,12706,13685,12622,13583,84,102,26392,12709,13683,12619,13584,90,99
"합계",서초구,반포본동,292,144,148,132,143,12,5,287,142,145,130,140,12,5,285,141,144,129,139,12,5
"합계",서초구,반포1동,34443,16760,17683,16608,17469,152,214,34366,16732,17634,16581,17420,151,214,34466,16765,17701,16610,17490,155,211
"합계",서초구,반포2동,15742,7489,8253,7445,8197,44,56,15720,7468,8252,7423,8196,45,56,15738,7460,8278,7416,8222,44,56
"합계",서초구,반포3동,22773,10853,11920,10828,11888,25,32,23191,11068,12123,11040,12090,28,33,23659,11289,12370,11259,12338,30,32
"합계",서초구,반포4동,19486,9208,10278,8824,9966,384,312,19468,9195,10273,8811,9962,384,311,19479,9220,10259,8838,9947,382,312
"합계",서초구,방배본동,20778,9624,11154,9533,11081,91,73,20787,9618,11169,9530,11097,88,72,20757,9589,11168,9500,11094,89,74
"합계",서초구,방배1동,16883,7891,8992,7824,8902,67,90,16857,7871,8986,7806,8900,65,86,16839,7856,8983,7791,8897,65,86
"합계",서초구,방배2동,18553,8674,9879,8615,9829,59,50,18545,8680,9865,8618,9814,62,51,18513,8671,9842,8609,9792,62,50
"합계",서초구,방배3동,17321,8333,8988,8286,8935,47,53,17284,8312,8972,8265,8919,47,53,17241,8282,8959,8233,8906,49,53
"합계",서초구,방배4동,23429,10689,12740,10544,12571,145,169,23371,10666,12705,10525,12535,141,170,23380,10662,12718,10518,12543,144,175
"합계",서초구,양재1동,42683,20354,22329,20198,22140,156,189,42725,20351,22374,20191,22184,160,190,42721,20331,22390,20174,22203,157,187
"합계",서초구,양재2동,21766,10889,10877,10784,10763,105,114,21782,10921,10861,10821,10748,100,113,21730,10916,10814,10813,10700,103,114
"합계",서초구,내곡동,17455,8447,9008,8422,8977,25,31,17423,8434,8989,8409,8959,25,30,17396,8411,8985,8384,8956,27,29
"합계",강남구,신사동,15876,7385,8491,7261,8361,124,130,15833,7360,8473,7236,8339,124,134,15876,7385,8491,7261,8362,124,129
"합계",강남구,개포3동,17382,8396,8986,8369,8949,27,37,17369,8392,8977,8367,8942,25,35,17371,8403,8968,8376,8931,27,37
"합계",강남구,논현1동,22080,10356,11724,10086,11309,270,415,22086,10381,11705,10105,11294,276,411,22051,10375,11676,10102,11258,273,418
"합계",강남구,논현2동,20814,9734,11080,9592,10910,142,170,20810,9722,11088,9577,10918,145,170,20824,9726,11098,9576,10925,150,173
