"동별(1)",동별(2),동별(3),2022. 12,2022. 12,2022. 12,2022. 12,2022. 12,2022. 12,2022. 12,2023. 01,2023. 01,2023. 01,2023. 01,2023. 01,2023. 01,2023. 01,2023. 02,2023. 02,2023. 02,2023. 02,2023. 02,2023. 02,2023. 02
"동별(1)",동별(2),동별(3),합계 (명),합계 (명),합계 (명),한국인,한국인,외국인,외국인,합계 (명),합계 (명),합계 (명),한국인,한국인,외국인,외국인,합계 (명),합계 (명),합계 (명),한국인,한국인,외국인,외국인
"동별(1)",동별(2),동별(3),소계,남자,여자,남자,여자,남자,여자,소계,남자,여자,남자,여자,남자,여자,소계,남자,여자,남자,여자,남자,여자
"합계",용산구,이태원2동,10427,4903,5524,4039,4692,864,832,10408,4900,5508,4031,4676,869,832,10394,4909,5485,4035,4650,874,835
"합계",용산구,서빙고동,13458,6501,6957,6058,6532,443,425,13450,6504,6946,6054,6519,450,427,13423,6482,6941,6029,6511,453,430
"합계",용산구,보광동,14060,7234,6826,6333,6382,901,444,14062,7244,6818,6341,6379,903,439,14040,7244,6796,6338,6354,906,442
"합계",용산구,청파동,19833,9135,10698,8916,10178,219,520,19824,9132,10692,8919,10184,213,508,19788,9105,10683,8893,10187,212,496
"합계",용산구,원효로1동,17774,8303,9471,7964,9180,339,291,17774,8313,9461,7969,9171,344,290,17788,8315,9473,7978,9183,337,290
"합계",용산구,한강로동,22886,10951,11935,10086,11157,865,778,22858,10935,11923,10065,11136,870,787,22798,10894,11904,10017,11110,877,794
"합계",용산구,한남동,22054,10842,11212,9418,10090,1424,1122,21969,10793,11176,9380,10047,1413,1129,21944,10795,11149,9375,10023,1420,1126
"합계",성동구,왕십리2동,16688,8018,8670,7851,8453,167,217,16679,8006,8673,7847,8460,159,213,16669,8016,8653,7855,8444,161,209
"합계",성동구,마장동,22706,11130,11576,10866,11168,264,408,22687,11130,11557,10859,11153,271,404,22664,11116,11548,10857,11157,259,391
"합계",성동구,사근동,14082,7029,7053,6272,5709,757,1344,14003,6991,7012,6234,5700,757,1312,13924,7001,6923,6285,5715,716,1208
"합계",성동구,행당1동,13996,6698,7298,6567,7109,131,189,13995,6700,7295,6573,7110,127,185,14000,6709,7291,6585,7115,124,176
"합계",성동구,행당2동,23148,10789,12359,10749,12307,40,52,23089,10767,12322,10730,12269,37,53,23063,10754,12309,10719,12256,35,53
"합계",성동구,응봉동,15100,7189,7911,7165,7882,24,29,15080,7168,7912,7145,7882,23,30,15052,7153,7899,7128,7869,25,30
"합계",성동구,금호1가동,15137,7220,7917,7187,7869,33,48,15107,7209,7898,7175,7849,34,49,15089,7198,7891,7164,7842,34,49
"합계",성동구,금호4가동,14228,6737,7491,6674,7424,63,67,14285,6764,7521,6701,7454,63,67,14299,6775,7524,6714,7463,61,61
"합계",성동구,성수1가1동,16407,8159,8248,7983,8106,176,142,16367,8137,8230,7962,8085,175,145,16210,8075,8135,7906,7998,169,137
"합계",성동구,성수1가2동,12322,6033,6289,5937,6186,96,103,12330,6024,6306,5929,6199,95,107,12354,6023,6331,5928,6221,95,110
"합계",성동구,성수2가1동,15716,8174,7542,7958,7298,216,244,15650,8135,7515,7923,7266,212,249,15568,8085,7483,7873,7236,212,247
"합계",성동구,성수2가3동,10520,5230,5290,5110,5181,120,109,10516,5230,5286,5111,5177,119,109,10495,5230,5265,5116,5147,114,118
"합계",성동구,송정동,10464,5534,4930,5334,4747,200,183,10421,5506,4915,5311,4726,195,189,10417,5503,4914,5311,4722,192,192
"합계",성동구,용답동,12551,6357,6194,6008,5642,349,552,12561,6362,6199,6015,5650,347,549,12611,6376,6235,6026,5685,350,550
"합계",성동구,왕십리도선동,26903,12657,14246,12454,13966,203,280,26880,12642,14238,12442,13960,200,278,26869,12626,14243,12433,13968,193,275
"합계",성동구,금호2.3가동,22423,10713,11710,10635,11618,78,92,22397,10694,11703,10618,11610,76,93,22372,10687,11685,10610,11592,77,93
"합계",성동구,옥수동,25843,12024,13819,11883,13702,141,117,25846,12012,13834,11867,13715,145,119,25791,11992,13799,11851,13683,141,116
"합계",광진구,화양동,27082,12379,14703,11141,12296,1238,2407,27098,12398,14700,11149,12282,1249,2418,27042,12405,14637,11161,12273,1244,2364
"합계",광진구,군자동,21524,10559,10965,9603,9822,956,1143,21563,10563,11000,9602,9822,961,1178,21477,10534,10943,9589,9836,945,1107
"합계",광진구,중곡1동,15663,7480,8183,7322,7977,158,206,15694,7483,8211,7328,7998,155,213,15760,7504,8256,7344,8041,160,215
"합계",광진구,중곡2동,21336,10032,11304,9903,11096,129,208,21323,10024,11299,9889,11090,135,209,21303,10007,11296,9868,11091,139,205
"합계",광진구,중곡3동,16177,7990,8187,7897,8048,93,139,16199,7995,8204,7903,8061,92,143,16191,7994,8197,7899,8056,95,141
"합계",광진구,중곡4동,28405,13848,14557,13715,14320,133,237,28331,13803,14528,13676,14291,127,237,28271,13768,14503,13644,14275,124,228
"합계",광진구,능동,11561,5308,6253,5134,6046,174,207,11571,5310,6261,5137,6045,173,216,11538,5298,6240,5129,6042,169,198
"합계",광진구,구의1동,24049,11414,12635,11143,12244,271,391,24056,11404,12652,11140,12262,264,390,24064,11430,12634,11163,12251,267,383
"합계",광진구,구의2동,26573,12731,13842,12511,13532,220,310,26520,12710,13810,12487,13494,223,316,26413,12633,13780,12409,13469,224,311
"합계",광진구,구의3동,28440,13400,15040,13309,14902,91,138,28452,13401,15051,13308,14914,93,137,28445,13401,15044,13306,14906,95,138
"합계",광진구,광장동,34362,16610,17752,16524,17644,86,108,34303,16575,17728,16485,17618,90,110,34275,16552,17723,16460,17613,92,110
"합계",광진구,자양1동,22709,11005,11704,10646,11216,359,488,22680,10988,11692,10632,11207,356,485,22734,11020,11714,10664,11242,356,472
"합계",광진구,자양2동,24253,11751,12502,11612,12334,139,168,24203,11740,12463,11598,12292,142,171,24129,11702,12427,11564,12254,138,173
"합계",광진구,자양3동,27858,13289,14569,13166,14387,123,182,27867,13304,14563,13179,14387,125,176,27839,13292,14547,13165,14371,127,176
"합계",광진구,자양4동,21260,10401,10859,8915,9011,1486,1848,21323,10436,10887,8947,9035,1489,1852,21339,10464,10875,8964,9022,1500,1853
"합계",동대문구,회기동,13536,6131,7405,5067,5479,1064,1926,13435,6103,7332,5045,5460,1058,1872,13446,6128,7318,5054,5479,1074,1839
"합계",동대문구,휘경1동,16339,7361,8978,6580,7351,781,1627,16331,7347,8984,6573,7355,774,1629,16339,7349,8990,6582,7434,767,1556
"합계",동대문구,휘경2동,24666,12209,12457,11906,11923,303,534,24657,12199,12458,11895,11921,304,537,25208,12457,12751,12152,12211,305,540
"합계",동대문구,청량리동,19094,9476,9618,9284,9326,192,292,19124,9490,9634,9297,9341,193,293,19097,9483,9614,9285,9335,198,279
"합계",동대문구,용신동,36137,17759,18378,17198,17361,561,1017,36201,17799,18402,17238,17382,561,1020,36502,17921,18581,17368,17557,553,1024
"합계",동대문구,제기동,26484,13181,13303,12373,11834,808,1469,26443,13173,13270,12370,11795,803,1475,26392,13156,13236,12356,11782,800,1454
"합계",동대문구,전농1동,29220,14515,14705,14310,14350,205,355,29240,14511,14729,14302,14375,209,354,29302,14505,14797,14293,14435,212,362
"합계",동대문구,전농2동,18629,8876,9753,8710,9475,166,278,18559,8851,9708,8694,9453,157,255,18530,8844,9686,8687,9436,157,250
"합계",동대문구,답십리2동,28055,13568,14487,13448,14345,120,142,28027,13542,14485,13420,14342,122,143,28017,13546,14471,13425,14328,121,143
"합계",동대문구,장안1동,38677,19053,19624,18815,19253,238,371,38659,19043,19616,18803,19236,240,380,38644,19017,19627,18771,19244,246,383
"합계",동대문구,장안2동,32685,16190,16495,16081,16306,109,189,32671,16195,16476,16086,16288,109,188,32641,16175,16466,16064,16278,111,188
"합계",동대문구,이문1동,21366,10129,11237,8943,9112,1186,2125,21190,10076,11114,8915,9033,1161,2081,21124,10048,11076,8922,9073,1126,2003
"합계",동대문구,이문2동,20183,9714,10469,9482,10195,232,274,20133,9688,10445,9463,10177,225,268,20120,9680,10440,9460,10171,220,269
"합계",동대문구,답십리1동,28530,13741,14789,13558,14579,183,210,28548,13740,14808,13556,14600,184,208,28507,13724,14783,13543,14568,181,215
"합계",중랑구,면목2동,24206,12017,12189,11879,11970,138,219,24213,12013,12200,11874,11974,139,226,24214,12015,12199,11871,11968,144,231
"합계",중랑구,면목4동,18746,9295,9451,9183,9280,112,171,18740,9289,9451,9177,9282,112,169,18682,9255,9427,9141,9256,114,171
"합계",중랑구,면목5동,14836,7413,7423,7373,7341,40,82,14805,7402,7403,7361,7321,41,82,14798,7392,7406,7351,7323,41,83
"합계",중랑구,면목7동,21798,10860,10938,10734,10739,126,199,21794,10854,10940,10728,10741,126,199,21837,10869,10968,10745,10769,124,199
"합계",중랑구,상봉1동,23714,11491,12223,11423,12128,68,95,23663,11481,12182,11412,12087,69,95,23620,11454,12166,11386,12070,68,96
"합계",중랑구,상봉2동,20612,9861,10751,9729,10523,132,228,20640,9872,10768,9735,10539,137,229,20607,9871,10736,9728,10514,143,222
"합계",중랑구,중화1동,19293,9462,9831,9402,9715,60,116,19280,9470,9810,9406,9693,64,117,19241,9455,9786,9392,9669,63,117
"합계",중랑구,중화2동,24926,12755,12171,12580,11912,175,259,24877,12724,12153,12547,11891,177,262,24813,12684,12129,12507,11864,177,265
"합계",중랑구,묵1동,34344,16413,17931,16332,17798,81,133,34295,16338,17957,16260,17821,78,136,34300,16335,17965,16254,17823,81,142
"합계",중랑구,묵2동,18624,9103,9521,9011,9364,92,157,18612,9096,9516,9001,9359,95,157,18636,9106,9530,9007,9378,99,152
"합계",중랑구,망우3동,16303,8186,8117,8031,7907,155,210,16286,8173,8113,8021,7906,152,207,16297,8170,8127,8020,7921,150,206
"합계",중랑구,신내1동,38205,18445,19760,18373,19681,72,79,38254,18470,19784,18398,19701,72,83,38284,18471,19813,18401,19728,70,85
"합계",중랑구,신내2동,20155,9566,10589,9540,10527,26,62,20082,9526,10556,9500,10495,26,61,20055,9516,10539,9491,10479,25,60
