"동별(1)",동별(2),동별(3),2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"동별(1)",동별(2),동별(3),합계,합계,합계,합계,합계,1~4명,1~4명,5~9명,5~9명,10~19명,10~19명,20~49명,20~49명,50~99명,50~99명,100~299명,100~299명,300~499명,300~499명,500~999명,500~999명,1000명 이상,1000명 이상
"동별(1)",동별(2),동별(3),사업체수,사업체수,종사자수,종사자수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수
"동별(1)",동별(2),동별(3),소계,여성대표자,소계,남,여,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계
"합계",용산구,원효로2동,1564,423,7229,4687,2542,1340,1880,110,709,66,885,34,927,9,577,4,700,-,-,-,-,1,1551
"합계",용산구,효창동,702,242,2596,1373,1223,585,912,70,466,31,395,11,308,4,279,1,236,-,-,-,-,-,-
"합계",용산구,용문동,963,371,2159,1174,985,901,1367,39,244,15,201,6,191,1,53,1,103,-,-,-,-,-,-
"합계",용산구,이촌1동,1387,620,4107,1818,2289,1202,1768,121,773,41,500,16,398,4,283,3,385,-,-,-,-,-,-
"합계",용산구,이촌2동,558,215,1183,640,543,520,673,25,166,5,82,7,191,1,71,-,-,-,-,-,-,-,-
"합계",용산구,이태원1동,1871,754,6544,3241,3303,1663,2483,134,841,53,688,15,378,3,174,1,122,1,358,-,-,1,1500
"합계",용산구,이태원2동,1285,529,3282,1790,1492,1175,1727,77,479,20,253,7,189,5,295,-,-,1,339,-,-,-,-
"합계",용산구,서빙고동,777,276,6126,3836,2290,647,955,61,382,29,366,21,676,6,448,9,1396,2,788,2,1115,-,-
"합계",용산구,보광동,1155,463,2365,1316,1049,1091,1446,44,273,9,117,8,223,1,72,2,234,-,-,-,-,-,-
"합계",용산구,청파동,2186,807,9850,4880,4970,1933,3075,142,886,59,761,30,865,12,853,8,1535,1,406,-,-,1,1469
