"동별(1)",동별(2),동별(3),2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"동별(1)",동별(2),동별(3),합계,합계,합계,합계,합계,합계,노상,노상,노상,노상,노외,노외,노외,노외,노외,노외,건축물부설,건축물부설,건축물부설,건축물부설,건축물부설,건축물부설
"동별(1)",동별(2),동별(3),소계,소계,공영,공영,민영,민영,시영,시영,구영,구영,시영,시영,구영,구영,민영,민영,일반주택,일반주택,공동주택,공동주택,일반건축물,일반건축물
"동별(1)",동별(2),동별(3),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수)
"합계",용산구,이촌2동,57,2159,12,211,45,1948,-,-,12,211,-,-,-,-,-,-,6,13,21,1753,18,182
"합계",용산구,이태원1동,450,3966,19,162,431,3804,-,-,19,162,-,-,-,-,5,81,208,668,68,1125,150,1930
"합계",용산구,이태원2동,685,3786,15,278,670,3508,-,-,14,167,-,-,1,111,1,20,406,823,169,1892,94,773
"합계",용산구,서빙고동,243,6523,22,481,221,6042,-,-,18,336,1,88,3,57,1,8,97,181,64,3802,59,2051
"합계",용산구,보광동,408,2800,23,291,385,2509,-,-,19,206,-,-,4,85,5,49,199,419,95,1354,86,687
"합계",용산구,청파동,910,6781,32,427,878,6354,-,-,26,175,-,-,6,252,1,45,334,787,283,2516,260,3006
"합계",용산구,원효로1동,436,9967,27,201,409,9766,1,16,25,143,-,-,1,42,1,6,97,232,130,6751,181,2777
"합계",용산구,한강로동,454,30057,65,1998,389,28059,-,-,57,636,1,561,7,801,3,81,38,52,61,12768,287,15158
"합계",용산구,한남동,1265,16498,46,864,1219,15634,1,5,41,298,1,174,3,387,4,88,490,1434,317,8167,408,5945
"합계",성동구,왕십리2동,229,5044,6,135,223,4909,-,-,5,41,-,-,1,94,-,-,103,270,28,3934,92,705
"합계",성동구,마장동,720,8796,40,1106,680,7690,-,-,36,805,1,10,3,291,3,89,294,653,77,4209,306,2739
"합계",성동구,사근동,491,7355,8,241,483,7114,-,-,5,46,-,-,3,195,1,10,263,847,78,1906,141,4351
"합계",성동구,행당1동,298,7516,8,98,290,7418,-,-,8,98,-,-,-,-,1,150,107,247,58,4004,124,3017
"합계",성동구,행당2동,92,9357,2,22,90,9335,-,-,2,22,-,-,-,-,-,-,47,120,25,9019,18,196
"합계",성동구,응봉동,98,3151,11,363,87,2788,-,-,8,127,-,-,3,236,-,-,44,85,33,2555,10,148
"합계",성동구,금호1가동,82,5457,7,101,75,5356,-,-,4,67,-,-,3,34,-,-,14,28,11,4867,50,461
"합계",성동구,금호4가동,137,5423,2,42,135,5381,-,-,2,42,-,-,-,-,2,10,48,104,29,4777,56,490
"합계",성동구,성수1가1동,596,7635,16,416,580,7219,-,-,14,226,-,-,2,190,2,51,230,514,89,2809,259,3845
"합계",성동구,성수1가2동,633,9712,22,643,611,9069,-,-,19,211,-,-,3,432,2,43,398,737,41,5008,170,3281
"합계",성동구,성수2가1동,682,8387,35,724,647,7663,-,-,33,527,-,-,2,197,3,51,315,688,75,2692,254,4232
"합계",성동구,성수2가3동,739,16697,39,1199,700,15498,-,-,38,1007,-,-,1,192,2,50,168,454,53,2962,477,12032
"합계",성동구,송정동,556,3118,13,296,543,2822,-,-,10,158,-,-,3,138,1,26,405,647,57,1242,80,907
"합계",성동구,용답동,508,6002,25,838,483,5164,-,-,21,512,-,-,4,326,3,111,242,464,38,376,200,4213
"합계",성동구,왕십리도선동,363,13447,20,402,343,13045,-,-,18,133,-,-,2,269,3,46,103,333,35,10142,202,2524
"합계",성동구,금호2.3가동,345,6764,9,281,336,6483,-,-,7,152,-,-,2,129,2,21,127,242,133,5665,74,555
"합계",성동구,옥수동,142,10683,7,149,135,10534,1,31,5,73,-,-,1,45,-,-,40,144,34,9649,61,741
"합계",광진구,화양동,1398,10647,179,325,1219,10322,-,-,173,173,-,-,6,152,-,-,595,1460,208,1990,416,6872
"합계",광진구,군자동,1204,7263,53,136,1151,7127,-,-,50,50,-,-,3,86,2,47,625,1676,237,2410,287,2994
"합계",광진구,중곡1동,1470,4979,127,147,1343,4832,-,-,126,126,-,-,1,21,3,64,765,1439,243,1845,332,1484
"합계",광진구,중곡2동,1682,6526,164,186,1518,6340,-,-,162,162,-,-,2,24,1,10,801,1909,385,2653,331,1768
"합계",광진구,중곡3동,1541,5359,204,393,1337,4966,-,-,200,200,-,-,4,193,1,12,814,1238,235,1594,287,2122
"합계",광진구,중곡4동,2314,8177,432,563,1882,7614,-,-,425,425,-,-,7,138,1,30,1003,2304,595,3865,283,1415
"합계",광진구,능동,1177,6560,252,353,925,6207,-,-,249,249,-,-,3,104,1,14,637,2128,154,1057,133,3008
"합계",광진구,구의1동,1753,8621,110,331,1643,8290,-,-,106,106,-,-,4,225,1,26,941,2256,404,3561,297,2447
"합계",광진구,구의2동,1572,8722,171,296,1401,8426,-,-,166,166,-,-,5,130,1,20,659,1653,537,5172,204,1581
"합계",광진구,구의3동,941,14788,176,370,765,14418,1,19,173,173,-,-,2,178,-,-,299,837,267,8788,199,4793
"합계",광진구,광장동,566,16425,207,292,359,16133,-,-,203,203,-,-,4,89,-,-,99,223,103,9870,157,6040
"합계",광진구,자양1동,1400,6870,69,92,1331,6778,-,-,68,68,-,-,1,24,4,84,699,1576,349,3185,279,1933
"합계",광진구,자양2동,1611,9499,416,734,1195,8765,-,-,412,412,-,-,4,322,3,72,611,1652,383,5028,198,2013
"합계",광진구,자양3동,772,14240,339,339,433,13901,-,-,339,339,-,-,-,-,-,-,202,501,111,10023,120,3377
"합계",광진구,자양4동,1043,5713,164,299,879,5414,-,-,161,161,-,-,3,138,3,70,498,1074,154,2742,224,1528
"합계",동대문구,회기동,598,6029,14,168,584,5861,-,-,13,68,-,-,1,100,1,10,309,661,70,1352,204,3838
"합계",동대문구,휘경1동,388,6499,16,249,372,6250,-,-,15,202,-,-,1,47,-,-,186,493,58,3991,128,1766
"합계",동대문구,휘경2동,836,11358,6,376,830,10982,-,-,2,4,-,-,4,372,1,8,550,1114,152,5772,127,4088
"합계",동대문구,청량리동,456,8940,54,421,402,8519,-,-,51,326,-,-,3,95,-,-,155,309,80,4836,167,3374
"합계",동대문구,용신동,1407,16812,95,728,1312,16084,1,103,91,503,1,79,2,43,3,85,475,1125,181,5636,653,9238
"합계",동대문구,제기동,978,9163,59,957,919,8206,-,-,57,618,-,-,2,339,2,22,358,891,178,4771,381,2522
"합계",동대문구,전농1동,907,11320,101,622,806,10698,-,-,99,529,-,-,2,93,3,39,366,702,173,5550,264,4407
"합계",동대문구,전농2동,233,7287,9,56,224,7231,-,-,8,36,-,-,1,20,-,-,92,174,52,5340,80,1717
