"동별(1)",동별(2),동별(3),2020,2020,2020,2020,2020
"동별(1)",동별(2),동별(3),종류별 주택수,종류별 주택수,종류별 주택수,종류별 주택수,종류별 주택수
"동별(1)",동별(2),동별(3),단독주택,아파트,연립주택,다세대주택,비거주용건물내주택
"서울시",중랑구,망우3동,1348,61,111,2018,66
"서울시",중랑구,신내1동,436,11411,297,747,68
"서울시",중랑구,신내2동,9,8425,X,X,6
"서울시",중랑구,면목본동,2427,962,220,4856,117
"서울시",중랑구,면목3.8동,1822,1942,429,2055,127
"서울시",중랑구,망우본동,1822,3446,401,1624,160
"서울시",성북구,돈암1동,164,5341,80,184,9
"서울시",성북구,돈암2동,47,7791,20,379,X
"서울시",성북구,안암동,1179,1209,214,1282,138
"서울시",성북구,보문동,988,2491,42,965,94
"서울시",성북구,정릉1동,577,4535,72,628,44
"서울시",성북구,정릉2동,923,3105,739,3401,43
"서울시",성북구,정릉3동,1537,756,1148,1860,58
"서울시",성북구,정릉4동,590,5173,876,2303,51
"서울시",성북구,길음1동,97,11470,37,234,21
"서울시",성북구,길음2동,519,5152,32,113,39
"서울시",성북구,월곡1동,1021,6228,93,882,43
"서울시",성북구,월곡2동,1213,3384,172,815,88
"서울시",성북구,장위1동,1482,90,462,4010,90
"서울시",성북구,장위2동,1751,347,196,1731,95
"서울시",성북구,장위3동,909,4619,199,327,24
"서울시",성북구,성북동,2391,630,769,1729,86
"서울시",성북구,삼선동,2002,2897,284,1676,128
"서울시",성북구,동선동,1129,1086,400,1548,135
"서울시",성북구,종암동,1419,8072,328,2296,120
"서울시",성북구,석관동,2582,4830,99,2850,111
"서울시",강북구,번1동,1672,880,86,1803,88
"서울시",강북구,번2동,290,2625,224,3558,26
"서울시",강북구,번3동,35,6861,66,271,24
"서울시",강북구,수유1동,1541,622,494,4051,73
"서울시",강북구,수유2동,868,2640,204,3412,119
"서울시",강북구,수유3동,1793,301,247,3485,136
"서울시",강북구,삼양동,1885,2647,612,2606,58
"서울시",강북구,미아동,1470,1100,444,3450,91
"서울시",강북구,송중동,1991,2985,475,3261,91
"서울시",강북구,송천동,3011,1255,208,2568,123
"서울시",강북구,삼각산동,50,11291,X,24,11
"서울시",강북구,우이동,1134,856,640,4415,77
